                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
    -22.2          1.359241e+02        6.919595e+01
    -22.1          1.359025e+02        6.919017e+01
    -22.0          1.358810e+02        6.918428e+01
    -21.9          1.358594e+02        6.917838e+01
    -21.8          1.358351e+02        6.917250e+01
    -21.7          1.358108e+02        6.916688e+01
    -21.6          1.357865e+02        6.916126e+01
    -21.5          1.357622e+02        6.915564e+01
    -21.4          1.357379e+02        6.915001e+01
    -21.3          1.357135e+02        6.914415e+01
    -21.2          1.356891e+02        6.913829e+01
    -21.1          1.356643e+02        6.913243e+01
    -21.0          1.356373e+02        6.912670e+01
    -20.9          1.356104e+02        6.912139e+01
    -20.8          1.355834e+02        6.911608e+01
    -20.7          1.355564e+02        6.911077e+01
    -20.6          1.355293e+02        6.910555e+01
    -20.5          1.355023e+02        6.910060e+01
    -20.4          1.354752e+02        6.909564e+01
    -20.3          1.354471e+02        6.909069e+01
    -20.2          1.354167e+02        6.908608e+01
    -20.1          1.353864e+02        6.908192e+01
    -20.0          1.353561e+02        6.907776e+01
    -19.9          1.353258e+02        6.907360e+01
    -19.8          1.352957e+02        6.906970e+01
    -19.7          1.352656e+02        6.906613e+01
    -19.6          1.352355e+02        6.906255e+01
    -19.5          1.352038e+02        6.905898e+01
    -19.4          1.351705e+02        6.905590e+01
    -19.3          1.351372e+02        6.905310e+01
    -19.2          1.351039e+02        6.905030e+01
    -19.1          1.350693e+02        6.904749e+01
    -19.0          1.350340e+02        6.904508e+01
    -18.9          1.349987e+02        6.904287e+01
    -18.8          1.349634e+02        6.904066e+01
    -18.7          1.349281e+02        6.903845e+01
    -18.6          1.348928e+02        6.903673e+01
    -18.5          1.348575e+02        6.903509e+01
    -18.4          1.348222e+02        6.903346e+01
    -18.3          1.347840e+02        6.903182e+01
    -18.2          1.347453e+02        6.903043e+01
    -18.1          1.347067e+02        6.902909e+01
    -18.0          1.346681e+02        6.902774e+01
    -17.9          1.346294e+02        6.902641e+01
    -17.8          1.345908e+02        6.902532e+01
    -17.7          1.345521e+02        6.902423e+01
    -17.6          1.345133e+02        6.902315e+01
    -17.5          1.344706e+02        6.902206e+01
    -17.4          1.344279e+02        6.902093e+01
    -17.3          1.343852e+02        6.901981e+01
    -17.2          1.343425e+02        6.901868e+01
    -17.1          1.343000e+02        6.901751e+01
    -17.0          1.342574e+02        6.901619e+01
    -16.9          1.342149e+02        6.901488e+01
    -16.8          1.341716e+02        6.901356e+01
    -16.7          1.341254e+02        6.901207e+01
    -16.6          1.340793e+02        6.901012e+01
    -16.5          1.340331e+02        6.900816e+01
    -16.4          1.339868e+02        6.900621e+01
    -16.3          1.339404e+02        6.900390e+01
    -16.2          1.338940e+02        6.900120e+01
    -16.1          1.338476e+02        6.899849e+01
    -16.0          1.337994e+02        6.899579e+01
    -15.9          1.337485e+02        6.899234e+01
    -15.8          1.336976e+02        6.898852e+01
    -15.7          1.336467e+02        6.898470e+01
    -15.6          1.335962e+02        6.898089e+01
    -15.5          1.335460e+02        6.897603e+01
    -15.4          1.334958e+02        6.897068e+01
    -15.3          1.334456e+02        6.896534e+01
    -15.2          1.333924e+02        6.895999e+01
    -15.1          1.333368e+02        6.895344e+01
    -15.0          1.332812e+02        6.894672e+01
    -14.9          1.332256e+02        6.894000e+01
    -14.8          1.331700e+02        6.893328e+01
    -14.7          1.331144e+02        6.892447e+01
    -14.6          1.330588e+02        6.891540e+01
    -14.5          1.330032e+02        6.890633e+01
    -14.4          1.329436e+02        6.889710e+01
    -14.3          1.328826e+02        6.888624e+01
    -14.2          1.328215e+02        6.887537e+01
    -14.1          1.327605e+02        6.886451e+01
    -14.0          1.326991e+02        6.885336e+01
    -13.9          1.326376e+02        6.883945e+01
    -13.8          1.325761e+02        6.882555e+01
    -13.7          1.325146e+02        6.881164e+01
    -13.6          1.324469e+02        6.879707e+01
    -13.5          1.323784e+02        6.878088e+01
    -13.4          1.323100e+02        6.876470e+01
    -13.3          1.322414e+02        6.874851e+01
    -13.2          1.321715e+02        6.873104e+01
    -13.1          1.321016e+02        6.871057e+01
    -13.0          1.320317e+02        6.869010e+01
    -12.9          1.319613e+02        6.866962e+01
    -12.8          1.318830e+02        6.864787e+01
    -12.7          1.318047e+02        6.862482e+01
    -12.6          1.317264e+02        6.860177e+01
    -12.5          1.316474e+02        6.857872e+01
    -12.4          1.315660e+02        6.855290e+01
    -12.3          1.314846e+02        6.852438e+01
    -12.2          1.314032e+02        6.849585e+01
    -12.1          1.313190e+02        6.846733e+01
    -12.0          1.312257e+02        6.843607e+01
    -11.9          1.311324e+02        6.840364e+01
    -11.8          1.310391e+02        6.837122e+01
    -11.7          1.309437e+02        6.833880e+01
    -11.6          1.308455e+02        6.830107e+01
    -11.5          1.307473e+02        6.826119e+01
    -11.4          1.306491e+02        6.822132e+01
