                       g_value (photons/atom/s)
Velocity (km/s)      4045.28 A           4048.35 A
      6.7          2.443238e-01        1.241317e-01
      6.8          2.417000e-01        1.242000e-01
      6.9          2.390763e-01        1.242563e-01
      7.0          2.364525e-01        1.243126e-01
      7.1          2.338288e-01        1.243690e-01
      7.2          2.312050e-01        1.244253e-01
      7.3          2.285812e-01        1.244816e-01
      7.4          2.254838e-01        1.245379e-01
      7.5          2.220425e-01        1.245856e-01
      7.6          2.186012e-01        1.246001e-01
      7.7          2.151599e-01        1.246146e-01
      7.8          2.117186e-01        1.246291e-01
      7.9          2.082773e-01        1.246436e-01
      8.0          2.048360e-01        1.246581e-01
      8.1          2.012957e-01        1.246726e-01
      8.2          1.972390e-01        1.246871e-01
      8.3          1.931823e-01        1.246619e-01
      8.4          1.891256e-01        1.246262e-01
      8.5          1.850689e-01        1.245905e-01
      8.6          1.810123e-01        1.245549e-01
      8.7          1.769556e-01        1.245192e-01
      8.8          1.728989e-01        1.244835e-01
      8.9          1.686855e-01        1.244478e-01
      9.0          1.644177e-01        1.243931e-01
      9.1          1.601500e-01        1.243073e-01
      9.2          1.558823e-01        1.242214e-01
      9.3          1.516145e-01        1.241356e-01
      9.4          1.473468e-01        1.240497e-01
      9.5          1.430791e-01        1.239638e-01
      9.6          1.389920e-01        1.238780e-01
      9.7          1.352813e-01        1.237921e-01
      9.8          1.315707e-01        1.236477e-01
      9.9          1.278600e-01        1.235012e-01
     10.0          1.241494e-01        1.233547e-01
     10.1          1.204388e-01        1.232083e-01
     10.2          1.167281e-01        1.230618e-01
     10.3          1.130175e-01        1.229153e-01
     10.4          1.103365e-01        1.227688e-01
     10.5          1.077624e-01        1.225899e-01
     10.6          1.051884e-01        1.223849e-01
     10.7          1.026143e-01        1.221799e-01
     10.8          1.000402e-01        1.219749e-01
     10.9          9.746612e-02        1.217699e-01
     11.0          9.489204e-02        1.215649e-01
     11.1          9.293099e-02        1.213599e-01
     11.2          9.161404e-02        1.211472e-01
     11.3          9.029709e-02        1.208879e-01
     11.4          8.898014e-02        1.206285e-01
     11.5          8.766319e-02        1.203692e-01
     11.6          8.634625e-02        1.201098e-01
     11.7          8.502930e-02        1.198504e-01
     11.8          8.396993e-02        1.195911e-01
     11.9          8.368235e-02        1.193317e-01
     12.0          8.339477e-02        1.190526e-01
     12.1          8.310718e-02        1.187660e-01
     12.2          8.281960e-02        1.184795e-01
     12.3          8.253202e-02        1.181929e-01
     12.4          8.224443e-02        1.179064e-01
     12.5          8.195685e-02        1.176199e-01
     12.6          8.201679e-02        1.173333e-01
     12.7          8.214697e-02        1.170501e-01
     12.8          8.227714e-02        1.167740e-01
     12.9          8.240732e-02        1.164979e-01
     13.0          8.253749e-02        1.162219e-01
     13.1          8.266767e-02        1.159458e-01
     13.2          8.279784e-02        1.156697e-01
     13.3          8.284814e-02        1.153936e-01
     13.4          8.278516e-02        1.151176e-01
