                                 g_value (photons/atom/s)
Velocity (km/s)      1807.31 A           1820.34 A           1826.25 A
     -8.2          4.015840e-04        3.482763e-04        3.850268e-04
     -8.1          4.014736e-04        3.482998e-04        3.850478e-04
     -8.0          4.013632e-04        3.483233e-04        3.850688e-04
     -7.9          4.012527e-04        3.483468e-04        3.850897e-04
     -7.8          4.011423e-04        3.483704e-04        3.851107e-04
     -7.7          4.010319e-04        3.483939e-04        3.851317e-04
     -7.6          4.009214e-04        3.484174e-04        3.851526e-04
     -7.5          4.008110e-04        3.484409e-04        3.851736e-04
     -7.4          4.007005e-04        3.484645e-04        3.851946e-04
     -7.3          4.005901e-04        3.484880e-04        3.852155e-04
     -7.2          4.004797e-04        3.485115e-04        3.852365e-04
     -7.1          4.003692e-04        3.485350e-04        3.852574e-04
     -7.0          4.002588e-04        3.485585e-04        3.852784e-04
     -6.9          4.001484e-04        3.485821e-04        3.852994e-04
     -6.8          4.000379e-04        3.486056e-04        3.853203e-04
     -6.7          3.999275e-04        3.486291e-04        3.853413e-04
     -6.6          3.998170e-04        3.486526e-04        3.853623e-04
     -6.5          3.997066e-04        3.486781e-04        3.853832e-04
     -6.4          3.995962e-04        3.487039e-04        3.854042e-04
     -6.3          3.994858e-04        3.487297e-04        3.854251e-04
     -6.2          3.993753e-04        3.487555e-04        3.854461e-04
     -6.1          3.992649e-04        3.487813e-04        3.854670e-04
     -6.0          3.991545e-04        3.488070e-04        3.854880e-04
     -5.9          3.990441e-04        3.488328e-04        3.855089e-04
     -5.8          3.989336e-04        3.488586e-04        3.855299e-04
     -5.7          3.988232e-04        3.488844e-04        3.855508e-04
     -5.6          3.987128e-04        3.489101e-04        3.855718e-04
     -5.5          3.986024e-04        3.489359e-04        3.855927e-04
     -5.4          3.984919e-04        3.489617e-04        3.856137e-04
     -5.3          3.983815e-04        3.489875e-04        3.856347e-04
     -5.2          3.982711e-04        3.490133e-04        3.856556e-04
     -5.1          3.981606e-04        3.490390e-04        3.856766e-04
     -5.0          3.980502e-04        3.490648e-04        3.856975e-04
     -4.9          3.979398e-04        3.490915e-04        3.857185e-04
     -4.8          3.978294e-04        3.491195e-04        3.857394e-04
     -4.7          3.977190e-04        3.491475e-04        3.857604e-04
     -4.6          3.976086e-04        3.491755e-04        3.857814e-04
     -4.5          3.974982e-04        3.492035e-04        3.858023e-04
     -4.4          3.973877e-04        3.492315e-04        3.858233e-04
