                       g_value (photons/atom/s)
Velocity (km/s)      5891.58 A           5897.56 A
    -13.1          4.589706e+01        2.861310e+01
    -13.0          4.567078e+01        2.849203e+01
    -12.9          4.544450e+01        2.837097e+01
    -12.8          4.521821e+01        2.824990e+01
    -12.7          4.499245e+01        2.812884e+01
    -12.6          4.476818e+01        2.799531e+01
    -12.5          4.454391e+01        2.786175e+01
    -12.4          4.431964e+01        2.772819e+01
    -12.3          4.409537e+01        2.759462e+01
    -12.2          4.387027e+01        2.746107e+01
    -12.1          4.362376e+01        2.732772e+01
    -12.0          4.337725e+01        2.719438e+01
    -11.9          4.313073e+01        2.706103e+01
    -11.8          4.288422e+01        2.692769e+01
    -11.7          4.263791e+01        2.679434e+01
    -11.6          4.239437e+01        2.664949e+01
    -11.5          4.215083e+01        2.650211e+01
    -11.4          4.190729e+01        2.635474e+01
    -11.3          4.166376e+01        2.620736e+01
    -11.2          4.142022e+01        2.605998e+01
    -11.1          4.115225e+01        2.591110e+01
    -11.0          4.087999e+01        2.576197e+01
    -10.9          4.060772e+01        2.561283e+01
    -10.8          4.033545e+01        2.546370e+01
    -10.7          4.006318e+01        2.531457e+01
    -10.6          3.978690e+01        2.515471e+01
    -10.5          3.951008e+01        2.498892e+01
    -10.4          3.923325e+01        2.482312e+01
    -10.3          3.895643e+01        2.465732e+01
    -10.2          3.867961e+01        2.449152e+01
    -10.1          3.837531e+01        2.432572e+01
    -10.0          3.805705e+01        2.415993e+01
     -9.9          3.773880e+01        2.399413e+01
     -9.8          3.742054e+01        2.382834e+01
     -9.7          3.710228e+01        2.366254e+01
     -9.6          3.676902e+01        2.348772e+01
     -9.5          3.642913e+01        2.330259e+01
     -9.4          3.608924e+01        2.311745e+01
     -9.3          3.574934e+01        2.293232e+01
     -9.2          3.540945e+01        2.274718e+01
     -9.1          3.503871e+01        2.255141e+01
     -9.0          3.463400e+01        2.234509e+01
     -8.9          3.422928e+01        2.213877e+01
     -8.8          3.382457e+01        2.193246e+01
     -8.7          3.341985e+01        2.172614e+01
     -8.6          3.298346e+01        2.151237e+01
     -8.5          3.251620e+01        2.129219e+01
     -8.4          3.204894e+01        2.107202e+01
     -8.3          3.158168e+01        2.085184e+01
     -8.2          3.111442e+01        2.063166e+01
     -8.1          3.062336e+01        2.039862e+01
     -8.0          3.011177e+01        2.013889e+01
     -7.9          2.960019e+01        1.987915e+01
     -7.8          2.908860e+01        1.961942e+01
     -7.7          2.857702e+01        1.935969e+01
     -7.6          2.802672e+01        1.909492e+01
     -7.5          2.739391e+01        1.882124e+01
     -7.4          2.676109e+01        1.854756e+01
     -7.3          2.612827e+01        1.827389e+01
     -7.2          2.549546e+01        1.800021e+01
     -7.1          2.485295e+01        1.771753e+01
     -7.0          2.419246e+01        1.738320e+01
     -6.9          2.353196e+01        1.704887e+01
     -6.8          2.287146e+01        1.671454e+01
     -6.7          2.221096e+01        1.638021e+01
     -6.6          2.154440e+01        1.604268e+01
     -6.5          2.083801e+01        1.569094e+01
     -6.4          2.013161e+01        1.533920e+01
     -6.3          1.942522e+01        1.498746e+01
     -6.2          1.871882e+01        1.463572e+01
     -6.1          1.802504e+01        1.428398e+01
     -6.0          1.739608e+01        1.388741e+01
     -5.9          1.676712e+01        1.348954e+01
     -5.8          1.613816e+01        1.309166e+01
     -5.7          1.550920e+01        1.269379e+01
     -5.6          1.488024e+01        1.229603e+01
     -5.5          1.429110e+01        1.191359e+01
     -5.4          1.370428e+01        1.153116e+01
     -5.3          1.311746e+01        1.114873e+01
     -5.2          1.253064e+01        1.076629e+01
     -5.1          1.194382e+01        1.038386e+01
     -5.0          1.148510e+01        1.000160e+01
     -4.9          1.102959e+01        9.619387e+00
     -4.8          1.057408e+01        9.237174e+00
     -4.7          1.011857e+01        8.854962e+00
     -4.6          9.663062e+00        8.472749e+00
     -4.5          9.265570e+00        8.139889e+00
     -4.4          8.886620e+00        7.817103e+00
     -4.3          8.507670e+00        7.494317e+00
     -4.2          8.128720e+00        7.171532e+00
     -4.1          7.749770e+00        6.848746e+00
     -4.0          7.466548e+00        6.552412e+00
     -3.9          7.209010e+00        6.272432e+00
     -3.8          6.951472e+00        5.992452e+00
     -3.7          6.693934e+00        5.712473e+00
     -3.6          6.436396e+00        5.432493e+00
     -3.5          6.221896e+00        5.205947e+00
     -3.4          6.039779e+00        5.007716e+00
     -3.3          5.857662e+00        4.809484e+00
     -3.2          5.675546e+00        4.611253e+00
     -3.1          5.493429e+00        4.413021e+00
     -3.0          5.353396e+00        4.234794e+00
     -2.9          5.241271e+00        4.081911e+00
     -2.8          5.129145e+00        3.929028e+00
     -2.7          5.017020e+00        3.776145e+00
     -2.6          4.904894e+00        3.623262e+00
     -2.5          4.808253e+00        3.497271e+00
     -2.4          4.736510e+00        3.400786e+00
     -2.3          4.664767e+00        3.304302e+00
     -2.2          4.593023e+00        3.207817e+00
     -2.1          4.521280e+00        3.111333e+00
     -2.0          4.461108e+00        3.023797e+00
     -1.9          4.417308e+00        2.961170e+00
     -1.8          4.373509e+00        2.898543e+00
     -1.7          4.329709e+00        2.835916e+00
     -1.6          4.285909e+00        2.773289e+00
     -1.5          4.247096e+00        2.718661e+00
     -1.4          4.228699e+00        2.682698e+00
     -1.3          4.210303e+00        2.646735e+00
     -1.2          4.191907e+00        2.610771e+00
     -1.1          4.173511e+00        2.574808e+00
     -1.0          4.159289e+00        2.540299e+00
     -0.9          4.159287e+00        2.520957e+00
     -0.8          4.159286e+00        2.501616e+00
     -0.7          4.159285e+00        2.482275e+00
     -0.6          4.159284e+00        2.462934e+00
     -0.5          4.159517e+00        2.445434e+00
     -0.4          4.185269e+00        2.441047e+00
     -0.3          4.211022e+00        2.436660e+00
     -0.2          4.236774e+00        2.432273e+00
     -0.1          4.262526e+00        2.427886e+00
      0.0          4.289622e+00        2.423499e+00
      0.1          4.349187e+00        2.433169e+00
      0.2          4.408751e+00        2.444219e+00
      0.3          4.468316e+00        2.455270e+00
      0.4          4.527881e+00        2.466320e+00
      0.5          4.587445e+00        2.477370e+00
      0.6          4.684232e+00        2.504522e+00
      0.7          4.789084e+00        2.532587e+00
      0.8          4.893935e+00        2.560652e+00
      0.9          4.998786e+00        2.588718e+00
      1.0          5.103637e+00        2.616783e+00
      1.1          5.252029e+00        2.663449e+00
      1.2          5.407950e+00        2.716862e+00
      1.3          5.563870e+00        2.770275e+00
      1.4          5.719791e+00        2.823689e+00
