                                 g_value (photons/atom/s)
Velocity (km/s)      4031.90 A           4034.21 A           4035.63 A
    -18.2          2.414009e+00        1.722232e+00        1.098110e+00
    -18.1          2.409083e+00        1.713051e+00        1.096914e+00
    -18.0          2.404157e+00        1.703870e+00        1.095719e+00
    -17.9          2.399231e+00        1.694690e+00        1.094524e+00
    -17.8          2.393412e+00        1.685026e+00        1.093597e+00
    -17.7          2.386501e+00        1.674296e+00        1.093111e+00
    -17.6          2.379589e+00        1.663566e+00        1.092624e+00
    -17.5          2.372677e+00        1.652835e+00        1.092138e+00
    -17.4          2.365766e+00        1.642105e+00        1.091651e+00
    -17.3          2.358854e+00        1.631374e+00        1.091165e+00
    -17.2          2.351942e+00        1.620644e+00        1.090678e+00
    -17.1          2.345014e+00        1.609914e+00        1.090191e+00
    -17.0          2.335513e+00        1.598945e+00        1.090455e+00
    -16.9          2.326011e+00        1.587941e+00        1.090765e+00
    -16.8          2.316510e+00        1.576937e+00        1.091074e+00
    -16.7          2.307009e+00        1.565933e+00        1.091383e+00
    -16.6          2.297508e+00        1.554930e+00        1.091693e+00
    -16.5          2.288006e+00        1.543926e+00        1.092002e+00
    -16.4          2.278505e+00        1.532922e+00        1.092311e+00
    -16.3          2.267080e+00        1.522460e+00        1.092926e+00
    -16.2          2.254998e+00        1.512702e+00        1.093837e+00
    -16.1          2.242915e+00        1.502944e+00        1.094748e+00
    -16.0          2.230833e+00        1.493187e+00        1.095659e+00
    -15.9          2.218751e+00        1.483429e+00        1.096570e+00
    -15.8          2.206668e+00        1.473672e+00        1.097481e+00
    -15.7          2.194586e+00        1.463914e+00        1.098392e+00
    -15.6          2.181391e+00        1.454157e+00        1.099309e+00
    -15.5          2.165626e+00        1.446184e+00        1.100297e+00
    -15.4          2.149862e+00        1.438220e+00        1.101286e+00
    -15.3          2.134098e+00        1.430256e+00        1.102275e+00
    -15.2          2.118334e+00        1.422291e+00        1.103263e+00
    -15.1          2.102569e+00        1.414327e+00        1.104252e+00
    -15.0          2.086805e+00        1.406363e+00        1.105241e+00
    -14.9          2.071041e+00        1.398398e+00        1.106229e+00
    -14.8          2.051296e+00        1.390688e+00        1.106923e+00
    -14.7          2.030899e+00        1.383180e+00        1.107445e+00
    -14.6          2.010502e+00        1.375672e+00        1.107968e+00
    -14.5          1.990105e+00        1.368163e+00        1.108491e+00
    -14.4          1.969708e+00        1.360655e+00        1.109014e+00
    -14.3          1.949311e+00        1.353147e+00        1.109537e+00
    -14.2          1.928914e+00        1.345639e+00        1.110060e+00
    -14.1          1.906278e+00        1.337891e+00        1.110398e+00
    -14.0          1.880504e+00        1.328346e+00        1.109989e+00
    -13.9          1.854729e+00        1.318802e+00        1.109580e+00
    -13.8          1.828954e+00        1.309258e+00        1.109171e+00
    -13.7          1.803180e+00        1.299714e+00        1.108762e+00
    -13.6          1.777405e+00        1.290169e+00        1.108353e+00
    -13.5          1.751630e+00        1.280625e+00        1.107944e+00
    -13.4          1.725856e+00        1.271081e+00        1.107535e+00
    -13.3          1.695129e+00        1.258307e+00        1.106238e+00
    -13.2          1.664267e+00        1.244007e+00        1.104664e+00
    -13.1          1.633405e+00        1.229708e+00        1.103091e+00
    -13.0          1.602542e+00        1.215408e+00        1.101517e+00
    -12.9          1.571680e+00        1.201109e+00        1.099943e+00
    -12.8          1.540817e+00        1.186809e+00        1.098370e+00
    -12.7          1.509955e+00        1.172510e+00        1.096796e+00
    -12.6          1.477930e+00        1.156421e+00        1.094836e+00
    -12.5          1.444876e+00        1.137882e+00        1.092078e+00
    -12.4          1.411822e+00        1.119342e+00        1.089321e+00
    -12.3          1.378767e+00        1.100803e+00        1.086563e+00
    -12.2          1.345713e+00        1.082263e+00        1.083805e+00
    -12.1          1.312659e+00        1.063724e+00        1.081047e+00
    -12.0          1.279605e+00        1.045185e+00        1.078290e+00
    -11.9          1.246814e+00        1.026645e+00        1.075532e+00
    -11.8          1.216780e+00        1.006104e+00        1.071668e+00
    -11.7          1.186747e+00        9.855287e-01        1.067668e+00
    -11.6          1.156713e+00        9.649535e-01        1.063668e+00
    -11.5          1.126679e+00        9.443782e-01        1.059668e+00
    -11.4          1.096645e+00        9.238029e-01        1.055668e+00
    -11.3          1.066611e+00        9.032277e-01        1.051668e+00
    -11.2          1.036577e+00        8.826524e-01        1.047669e+00
    -11.1          1.011875e+00        8.633846e-01        1.043096e+00
    -11.0          9.901153e-01        8.452105e-01        1.037834e+00
    -10.9          9.683552e-01        8.270364e-01        1.032572e+00
    -10.8          9.465951e-01        8.088624e-01        1.027311e+00
    -10.7          9.248350e-01        7.906883e-01        1.022049e+00
    -10.6          9.030749e-01        7.725142e-01        1.016787e+00
    -10.5          8.813148e-01        7.543401e-01        1.011526e+00
    -10.4          8.618300e-01        7.368218e-01        1.006238e+00
    -10.3          8.513633e-01        7.248475e-01        9.995598e-01
    -10.2          8.408967e-01        7.128731e-01        9.928812e-01
    -10.1          8.304300e-01        7.008988e-01        9.862026e-01
    -10.0          8.199633e-01        6.889244e-01        9.795240e-01
     -9.9          8.094966e-01        6.769501e-01        9.728454e-01
     -9.8          7.990299e-01        6.649758e-01        9.661668e-01
     -9.7          7.885632e-01        6.530014e-01        9.594882e-01
     -9.6          7.848112e-01        6.453856e-01        9.518721e-01
     -9.5          7.831970e-01        6.399451e-01        9.435826e-01
